centroid_x,centroid_y,frame
457.0446,4.5767636,0
467.18152,3.8115704,0
169.75331,3.4960625,0
416.08395,4.366373,0
451.57837,4.671604,0
476.16434,4.343923,0
40.41998,4.3426213,0
282.42618,4.8285346,0
384.7205,4.366785,0
485.83798,4.955635,0
490.5281,5.703902,0
347.06055,5.0097528,0
433.19577,5.2845426,0
442.11996,5.1407366,0
428.79077,7.2236876,0
481.48325,6.599123,0
394.228,7.125204,0
461.95264,7.0075455,0
366.3035,7.33756,0
389.52054,7.845934,0
414.0457,7.239324,0
453.76047,7.464779,0
466.21103,7.8092136,0
418.12216,8.389129,0
423.11426,8.271901,0
449.41772,8.452864,0
371.0918,9.086932,0
410.33682,8.584157,0
475.84055,9.020257,0
486.87772,8.718412,0
399.51538,11.011958,0
408.08414,10.166399,0
178.43849,11.1455145,0
415.4114,10.795715,0
427.3481,10.8222885,0
478.6102,10.593432,0
494.0891,10.839562,0
404.6421,11.817371,0
434.55875,11.629547,0
391.21127,12.811593,0
395.984,11.968633,0
449.67908,12.335841,0
462.78708,12.652016,0
473.22684,12.052925,0
483.39233,12.932251,0
349.05225,12.891873,0
441.86182,13.525365,0
219.393,14.228246,0
470.08792,13.616792,0
408.39233,14.309253,0
490.14865,14.467392,0
498.20273,14.309846,0
387.46875,15.620099,0
460.51782,15.049332,0
478.42117,15.564345,0
494.47177,15.148533,0
180.97737,15.818,0
437.67587,15.170578,0
474.2762,15.426392,0
485.91614,15.683875,0
43.88788,16.041016,0
404.11807,16.841227,0
446.89124,16.747665,0
5.8693047,16.641476,0
103.94407,17.029957,0
374.19067,18.044075,0
443.89053,17.840117,0
482.6005,17.974081,0
408.34695,18.582825,0
474.3038,19.099802,0
491.03442,18.9696,0
183.95659,19.09789,0
415.7075,18.786394,0
424.1967,18.57606,0
460.74316,18.965368,0
469.7251,19.169193,0
496.23434,19.220491,0
501.76672,19.241661,0
336.50842,19.36022,0
418.01685,19.479256,0
440.15323,19.94715,0
464.3945,19.791983,0
41.832443,19.814106,0
180.80528,20.107098,0
223.35713,20.263968,0
366.07565,20.12241,0
363.6399,20.769758,0
412.0991,21.398848,0
453.87112,20.46976,0
485.5024,20.756706,0
420.86844,22.263636,0
476.0811,21.158243,0
480.75964,21.276236,0
336.41714,22.164171,0
184.90277,22.534775,0
334.78992,22.510956,0
370.1472,22.281878,0
405.7428,22.97867,0
472.58276,22.889261,0
505.39407,23.04731,0
112.858696,23.177956,0
132.53581,23.882936,0
426.43027,23.830734,0
467.74588,24.022223,0
92.438225,24.048449,0
154.42076,24.344788,0
182.83307,23.993647,0
220.10583,23.959772,0
222.76471,24.28689,0
243.01707,23.960709,0
244.75679,24.084494,0
464.08914,23.663961,0
489.45996,23.895552,0
501.469,24.467371,0
142.4477,24.58697,0
394.34183,25.367653,0
415.84244,25.361877,0
431.5552,24.784094,0
457.8519,24.916168,0
478.0099,25.14871,0
152.75227,25.55694,0
441.50656,25.8012,0
472.80392,25.548632,0
484.64536,25.92025,0
494.55432,26.014412,0
176.53508,26.135094,0
333.19263,26.391878,0
372.39725,25.663046,0
384.16666,26.070702,0
437.36072,26.781939,0
498.8522,25.933935,0
509.53116,26.453575,0
398.79407,26.997084,0
421.52246,27.804216,0
461.9672,26.595861,0
469.9166,26.578949,0
222.97478,27.901396,0
427.87085,28.652351,0
445.6058,28.726824,0
477.76147,28.903246,0
504.62314,28.607626,0
349.01306,28.898489,0
416.66943,28.735687,0
465.6707,28.927168,0
473.04825,28.351866,0
37.19475,29.45183,0
162.13031,29.800224,0
358.04675,29.003138,0
390.63278,29.512907,0
408.99338,29.984283,0
448.70316,29.487333,0
486.2489,29.366823,0
500.1846,29.58948,0
21.409044,30.032646,0
322.26923,30.190704,0
459.0271,30.301758,0
481.40845,31.01758,0
425.29846,30.563818,0
509.13046,31.761396,0
513.3176,30.859957,0
265.05032,31.827547,0
398.5366,32.288326,0
216.3753,32.057213,0
390.1227,31.880754,0
495.8458,32.074596,0
433.52673,33.761105,0
450.43933,33.042835,0
467.3203,33.004974,0
504.00717,32.991985,0
22.281275,33.199257,0
128.3403,33.583725,0
404.80002,34.27924,0
428.27933,33.194714,0
463.0085,33.491146,0
472.83377,33.736263,0
446.58188,34.808567,0
132.30154,35.04384,0
232.50215,34.815388,0
486.09604,34.03351,0
515.4414,35.09499,0
517.5377,35.359257,0
55.972446,35.521793,0
482.38144,35.455257,0
493.12253,35.90015,0
393.19592,36.1913,0
416.79782,36.60611,0
442.90536,36.579113,0
458.6174,36.411194,0
496.7699,36.52466,0
234.97821,36.67583,0
339.31174,36.713627,0
408.53073,36.704815,0
468.93405,37.193893,0
293.7803,37.092346,0
428.46494,37.28091,0
463.49387,37.768414,0
305.1449,39.09225,0
425.65686,39.50062,0
433.36063,38.23748,0
451.74695,38.887905,0
453.708,38.39555,0
129.79239,38.40002,0
438.7627,38.79426,0
480.08957,38.756245,0
519.576,38.61632,0
126.08465,39.18233,0
301.297,39.810127,0
474.9421,39.386845,0
493.36887,39.90672,0
506.652,39.184246,0
512.9257,39.881947,0
392.61124,40.34564,0
413.10464,41.287693,0
458.37366,39.92209,0
470.53467,39.99937,0
379.47314,41.250576,0
444.47745,41.282654,0
451.49973,40.44208,0
497.84824,40.844723,0
516.587,41.13284,0
522.75024,41.891224,0
383.9204,42.318607,0
404.2939,41.759678,0
408.38425,41.686543,0
417.16785,41.580307,0
464.2451,42.188534,0
477.91263,41.93501,0
131.93414,42.191864,0
241.82536,41.908062,0
455.50986,42.39866,0
490.90503,42.014713,0
40.238358,42.88675,0
394.96622,42.39934,0
435.65088,42.30734,0
440.5435,43.083805,0
503.141,43.4529,0
508.66397,43.204105,0
168.39742,43.46135,0
